#size: 500 4
#hip stance, hip swing, knee stance, knee swing
-3.632512433,22.61669766,10.89193504,40.50872397
-3.733400744,22.66683112,10.86288049,40.18726045
-3.834242355,22.71606652,10.83445812,39.86357343
-3.934971295,22.76432232,10.80680566,39.53750523
-4.035536895,22.81142416,10.78001838,39.20866671
-4.136035128,22.85758622,10.75387263,38.87746712
-4.236453973,22.90267914,10.7284157,38.5438711
-4.336747542,22.94658729,10.70375434,38.20768183
-4.436886609,22.98936835,10.6799324,37.86910536
-4.536892951,23.03113915,10.65688575,37.52833786
-4.636724203,23.07168102,10.63470829,37.18500949
-4.736413002,23.11092758,10.61334406,36.83910741
-4.835961322,23.14912212,10.59275609,36.49112785
-4.935328706,23.18598003,10.57305207,36.14055873
-5.034566288,23.22173184,10.55409556,35.78783763
-5.133614377,23.25621681,10.53602823,35.43293345
-5.232431945,23.28937774,10.51890694,35.07571525
-5.331046977,23.32126104,10.50268071,34.71635759
-5.429444902,23.35178414,10.48738495,34.35475653
-5.527689149,23.38107654,10.47286692,33.99116566
-5.625717988,23.40905005,10.45926041,33.62556351
-5.723469676,23.43564215,10.44667482,33.25791677
-5.820973424,23.46092683,10.43504815,32.88844232
-5.918251022,23.4847898,10.42433866,32.51706305
-6.015324415,23.50736079,10.41447938,32.14395241
-6.112157916,23.5287092,10.40551796,31.76931079
-6.208636707,23.54838922,10.39775375,31.39281679
-6.304850734,23.56677647,10.39093255,31.01484129
-6.40084411,23.58395265,10.3849339,30.63549093
-6.496585103,23.59974632,10.37987554,30.25482658
-6.591966465,23.61403703,10.37596905,29.87292687
-6.687001508,23.62687161,10.37315939,29.48980125
-6.781791701,23.63856453,10.37118215,29.10574825
-6.876300769,23.64891324,10.37014855,28.72074711
-6.970467696,23.65781358,10.37017961,28.33482125
-7.064269913,23.66536787,10.37130251,27.9482304
-7.157736249,23.67158874,10.37344811,27.5610506
-7.25090902,23.67654151,10.37649866,27.17330028
-7.343726148,23.68020088,10.38059458,26.7852078
-7.436156188,23.68256741,10.38578011,26.39703438
-7.528218961,23.68369377,10.39200088,26.0087881
-7.619914403,23.68351416,10.3992522,25.62035476
-7.711252119,23.68207911,10.40749346,25.23201092
-7.802221418,23.67960712,10.41669849,24.84414908
-7.8927578,23.6758366,10.42705964,24.45675536
-7.982904454,23.67082336,10.43844722,24.0695961
-8.072666908,23.66482153,10.45079229,23.68323497
-8.162022911,23.65765821,10.46417678,23.29776064
-8.250919495,23.6493891,10.47867849,22.91330522
-8.339415057,23.64010977,10.4941313,22.52961564
-8.427525828,23.62981546,10.51052148,22.14710078
-8.515192472,23.61858479,10.52795434,21.76610432
-8.602330471,23.60619709,10.54663322,21.38682893
-8.689021954,23.59289708,10.56632895,21.00911815
-8.77531821,23.57888607,10.58686358,20.63310176
-8.861195757,23.5640358,10.60830187,20.25871549
-8.946554188,23.54818164,10.63087822,19.88613081
-9.031442581,23.53154033,10.65447835,19.51598013
-9.115867619,23.5142252,10.67906116,19.14837361
-9.199779716,23.49619861,10.70468531,18.78321046
-9.283199786,23.47743206,10.73130277,18.42038588
-9.366165671,23.45793542,10.75885612,18.06014417
-9.448695385,23.43793242,10.78721076,17.70228815
-9.530685673,23.41738085,10.81660614,17.34746811
-9.61215106,23.39622773,10.84706866,16.99595333
-9.69309971,23.3745118,10.87853889,16.64780589
-9.773538001,23.35237247,10.91094888,16.30298604
-9.853476653,23.32975573,10.94425414,15.96117388
-9.932961483,23.30667819,10.97837919,15.62240162
-10.01194919,23.28334945,11.01335235,15.2871079
-10.09036416,23.25967454,11.04937254,14.95587569
-10.16825322,23.23563818,11.08635657,14.62855504
-10.24565076,23.21129617,11.12418997,14.30492449
-10.32252476,23.18673141,11.16291597,13.98522329
-10.39888178,23.1619468,11.20249212,13.66926844
-10.47474286,23.13703302,11.24290058,13.35744091
-10.55007207,23.11195578,11.28422163,13.0499644
-10.62485675,23.08672766,11.3264298,12.74675638
-10.69912533,23.06137406,11.3694976,12.44778754
-10.77294019,23.03597581,11.4132571,12.15269935
-10.84621033,23.01059779,11.4578565,11.86226974
-10.91893554,22.98517763,11.50338327,11.57653953
-10.99114955,22.959735,11.54973927,11.2953486
-11.0628458,22.93436159,11.5968794,11.01890213
-11.13402644,22.909068,11.64481895,10.74703952
-11.20471905,22.88386954,11.6934974,10.47960166
-11.27496012,22.85875185,11.74285109,10.21659356
-11.34464091,22.83375347,11.79308883,9.958748264
-11.41374435,22.80893397,11.84424409,9.706271284
-11.48237497,22.7843235,11.89607317,9.4582559
-11.55053895,22.75992066,11.94857867,9.214896328
-11.6181627,22.73572586,12.00193868,8.976939628
-11.68531569,22.71173702,12.05600361,8.743749069
-11.75198027,22.68800828,12.11080894,8.515585838
-11.81815061,22.66456742,12.16635193,8.29233704
-11.88380437,22.64141856,12.22269168,8.074148321
-11.94892295,22.61857562,12.2798857,7.861541931
-12.01356451,22.5960751,12.3377905,7.654119598
-12.07778822,22.57389083,12.39627676,7.451243668
-12.14151077,22.55205793,12.45549263,7.253420173
-12.20462092,22.53066588,12.51569711,7.061818986
-12.26728278,22.50965863,12.57659339,6.875413798
-12.32952061,22.4889987,12.63811455,6.693753234
-12.39134314,22.46873333,12.70022805,6.516754094
-12.45265296,22.44892388,12.76317025,6.345405115
-12.51340453,22.42963362,12.82703668,6.180305588
-12.5736047,22.4108003,12.89179776,6.020804368
-12.63341271,22.3923768,12.95714714,5.865711349
-12.69282798,22.37440005,13.02315194,5.715515673
-12.75173644,22.3569555,13.09004914,5.571262107
-12.81013172,22.3400315,13.15784856,5.433006946
-12.86801053,22.32361962,13.22647083,5.300191526
-12.92535557,22.30774615,13.29590116,5.172586214
-12.98227841,22.29237343,13.36602639,5.050183341
-13.03873742,22.27753417,13.43689831,4.933250052
-13.09467596,22.26326422,13.50858308,4.821815565
-13.15011087,22.24960597,13.58113371,4.716362541
-13.20513481,22.23649284,13.65438325,4.616095096
-13.259722,22.22389745,13.72835148,4.520781739
-13.31385455,22.21190022,13.80320644,4.431069951
-13.3675373,22.20055113,13.87908292,4.347561399
