#size: 500 4
#stance_hip, swing_hip, stance_knee, swing_knee
-1.666689498,35.81198006,11.3828712,76.28652942
-1.697848298,35.96695177,11.36886691,76.31412613
-1.729071062,36.12056459,11.35502523,76.33496559
-1.760363759,36.27292242,11.3412991,76.34966233
-1.791722813,36.42375506,11.32773092,76.35720285
-1.823155668,36.57313565,11.31432607,76.35783893
-1.854633475,36.72127644,11.30109178,76.35279033
-1.886195607,36.86816708,11.28798768,76.34144014
-1.917866428,37.01352776,11.2750619,76.3218179
-1.949590801,37.15769941,11.26234072,76.29632979
-1.981381631,37.30079628,11.24977425,76.26544068
-2.013264078,37.44228854,11.23740273,76.22664319
-2.045212112,37.58234713,11.22523514,76.18120799
-2.077202597,37.72123164,11.21327357,76.13030109
-2.109267135,37.85857631,11.20152419,76.07237631
-2.141393666,37.99433269,11.18999733,76.00770899
-2.17356682,38.128565,11.17872285,75.93653425
-2.205796967,38.26136716,11.16766629,75.8590941
-2.238072444,38.39258681,11.15684252,75.77546185
-2.270387498,38.52201778,11.14631199,75.68505613
-2.302728136,38.65001093,11.13602694,75.58895648
-2.335129556,38.77604924,11.12600754,75.4856279
-2.367568895,38.90037495,11.11625841,75.37627917
-2.400022701,39.02331847,11.1067608,75.26195045
-2.432515609,39.14414008,11.09757749,75.14046448
-2.465033027,39.26311615,11.08869062,75.01281543
-2.497564069,39.38051556,11.08007425,74.87997863
-2.530128147,39.49591144,11.07176355,74.74108606
-2.562700961,39.60925706,11.0637866,74.59587417
-2.595280236,39.72083599,11.05609311,74.445472
-2.627886558,39.83030546,11.04872009,74.28909562
-2.660476947,39.93783113,11.0417,74.12729402
-2.693073871,40.04342269,11.03498053,73.9602558
-2.725676944,40.14696013,11.02857361,73.78784698
-2.75826769,40.24837619,11.02252826,73.61015482
-2.790861203,40.34757749,11.01682452,73.42694054
-2.823455484,40.44490187,11.01140265,73.23918528
-2.856009177,40.53998585,11.00638766,73.04628855
-2.888565839,40.63274757,11.00169925,72.84825684
-2.921105991,40.72360831,10.99731019,72.64604826
-2.953611841,40.81207815,10.99333452,72.43884728
-2.986095521,40.89833131,10.98969368,72.22706174
-3.018578398,40.98234877,10.98637291,72.01060727
-3.051027193,41.06436639,10.9833936,71.79034173
-3.083442363,41.14369572,10.9808386,71.56519701
-3.115864465,41.22108021,10.97851797,71.33631027
