#size: 500 4
#hip stance, hip swing, knee stance, knee swing
35.25924693,-13.67066498,9.059143527,13.77959783
35.26640459,-13.63427768,9.287948432,14.04815251
35.27201225,-13.59543341,9.51425294,14.32042181
35.27604981,-13.55406277,9.737896662,14.59640132
35.27850161,-13.51009743,9.958733604,14.87608958
35.27935641,-13.4634703,10.17663222,15.15948767
35.27860736,-13.41411563,10.39147543,15.44659882
35.2762519,-13.36196924,10.60316061,15.73742797
35.27229171,-13.30696866,10.81159952,16.03198143
35.26673256,-13.24905329,11.01671822,16.33026647
35.25958425,-13.1881646,11.21845689,16.63229092
35.2508604,-13.1242463,11.41676965,16.93806287
35.24057833,-13.05724448,11.61162433,17.24759026
35.22875885,-12.98710784,11.8030021,17.56088052
35.21542608,-12.91378782,11.99089719,17.87794026
35.20060721,-12.83723878,12.17531645,18.19877491
35.18433231,-12.75741817,12.35627887,18.52338841
35.16663401,-12.67428668,12.5338151,18.85178286
35.14754731,-12.58780838,12.70796692,19.18395822
35.12710924,-12.49795091,12.87878658,19.51991203
35.10535862,-12.40468557,13.04633618,19.85963908
35.08233575,-12.30798747,13.21068702,20.20313116
35.05808211,-12.20783564,13.37191882,20.55037675
35.03264002,-12.10421314,13.53011901,20.90136081
35.00605238,-11.99710715,13.68538197,21.25606451
34.97836234,-11.88650907,13.83780816,21.61446496
34.94961295,-11.77241456,13.98750338,21.97653504
34.91984689,-11.65482362,14.13457787,22.34224321
34.88910616,-11.53374062,14.27914552,22.71155323
34.85743176,-11.40917433,14.421323,23.08442411
34.82486341,-11.28113791,14.56122891,23.46080985
34.79143927,-11.14964896,14.69898299,23.84065936
34.75719566,-11.01472942,14.83470526,24.22391635
34.72216682,-10.8764056,14.96851523,24.61051918
34.68638465,-10.7347081,15.10053112,25.00040085
34.64987849,-10.58967174,15.23086909,25.39348887
34.61267493,-10.44133547,15.35964257,25.7897053
34.57479761,-10.28974231,15.48696151,26.18896669
34.53626704,-10.13493916,15.61293176,26.59118407
34.49710048,-9.976976757,15.73765448,26.99626305
34.45731179,-9.815909461,15.86122555,27.4041038
34.41691137,-9.651795136,15.98373509,27.81460116
34.37590605,-9.484694964,16.10526697,28.22764472
34.33429904,-9.31467327,16.22589842,28.64311893
34.29208991,-9.14179732,16.34569967,29.06090328
34.24927459,-8.966137123,16.46473363,29.48087238
34.20584537,-8.787765214,16.58305568,29.90289621
34.16179097,-8.606756432,16.70071344,30.32684026
34.11709658,-8.423187687,16.81774666,30.75256577
34.07174394,-8.237137729,16.9341871,31.17992993
34.02571148,-8.048686901,17.05005854,31.60878617
33.97897443,-7.857916895,17.16537678,32.03898436
33.93150495,-7.664910503,17.28014969,32.47037112
33.88327232,-7.469751366,17.39437734,32.90279007
33.8342431,-7.272523722,17.50805216,33.33608214
33.78438134,-7.073312154,17.62115916,33.77008589
33.73364879,-6.872201346,17.73367609,34.20463774
33.6820051,-6.669275828,17.84557382,34.63957239
33.62940807,-6.46461974,17.95681657,35.07472302
33.57581388,-6.258316592,18.06736226,35.50992171
33.52117734,-6.050449033,18.1771629,35.94499969
33.46545212,-5.841098625,18.28616495,36.37978769
33.40859103,-5.630345628,18.3943097,36.81411623
33.35054625,-5.418268794,18.50153373,37.24781599
33.29126961,-5.204945166,18.60776931,37.68071804
33.2307128,-4.990449894,18.71294483,38.11265421
33.16882765,-4.774856057,18.81698526,38.54345733
33.10556637,-4.558234502,18.91981258,38.97296158
33.04088177,-4.34065369,19.02134623,39.40100271
32.97472747,-4.12217956,19.12150352,39.82741833
32.90705818,-3.902875408,19.2202001,40.25204816
32.83782983,-3.682801769,19.31735034,40.67473431
32.7669998,-3.462016328,19.41286778,41.09532144
32.69452711,-3.240573836,19.50666548,41.51365705
32.62037257,-3.018526045,19.59865644,41.92959165
32.54449894,-2.795921654,19.68875394,42.34297893
32.46687108,-2.572806271,19.7768719,42.753676
32.38745603,-2.349222395,19.86292519,43.16154348
32.30622318,-2.125209403,19.94682995,43.56644569
32.22314433,-1.90080356,20.02850386,43.96825076
32.13819373,-1.676038035,20.10786643,44.36683077
32.05134822,-1.450942939,20.18483922,44.76206183
31.96258722,-1.22554537,20.25934606,45.15382419
31.87189275,-0.999869472,20.33131328,45.54200228
31.77924951,-0.773936507,20.40066984,45.9264848
31.68464479,-0.547764937,20.46734754,46.30716477
31.58806855,-0.321370521,20.53128112,46.68393952
31.48951332,-0.094766415,20.5924084,47.05671077
31.3889742,0.132036714,20.65067039,47.42538461
31.2864488,0.359030565,20.70601133,47.78987148
31.1819372,0.586209072,20.75837882,48.15008619
31.07544184,0.813568272,20.80772382,48.50594788
30.96696748,1.04110616,20.85400072,48.85737998
30.85652108,1.268822543,20.89716735,49.2043102
30.74411177,1.496718886,20.93718499,49.54667044
30.62975066,1.72479816,20.9740184,49.88439675
30.51345082,1.953064682,21.00763576,50.21742926
30.39522713,2.181523957,21.03800872,50.54571211
30.27509617,2.410182521,21.06511233,50.8691934
30.15307616,2.639047779,21.08892502,51.18782503
30.02918677,2.868127844,21.10942856,51.5015627
29.90344908,3.097431388,21.12660805,51.81036576
29.77588541,3.326967483,21.14045183,52.11419713
29.64651929,3.556745451,21.15095148,52.41302321
29.51537525,3.786774719,21.15810173,52.70681374
29.38247881,4.017064679,21.16190044,52.99554176
29.24785635,4.247624551,21.16234852,53.27918342
29.11153498,4.47846325,21.15944991,53.55771795
28.97354252,4.70958927,21.15321148,53.83112748
28.83390734,4.941010561,21.14364304,54.099397
